,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N°,N° de Parte,Descripción del Cliente,Nivel de revisión,Laminación VCL,Referencia,Troquel,Paso troquel (mm),Prensa 1,Placas / Paralelas ,Stacker's,Bandas,Prensa 2,Placas / Paralelas 2,Stacker's 2,Bandas 2,Prensa 3,Placas / Paralelas 3,Stacker's 3,Bandas3,Prensa 4,Placas / Paralelas 4,Stacker's 4,Bandas 4,Long. Corte de alambre,Cal. de alambre,Tipo de alambre ,Lubricante,Horneado,Acero 1,Acero 2,Acero 3,Espesor (pulg.),Ancho de cinta (pulg.),Peso pieza (kg),Long. Alambre / stack  final (pulg.),Piezas por alambre,Peso del alambre (kg),Tamaño de caja (L*A*P),Alambres / Stack's por caja,Tamaño de tarima (L*A),Tipo de tarima,Característica especial
1,EI 075 4HO 24 ø0.179 ®,,,EI 075 4HO 24 ø0.179 ®,,EI-75C,76.16,Pulsar-A,N/A,EI-75C,N/A,Pulsar-B,,,,Aida,,,,,,,,,18,,Tech Cool 10-1,Si,65M800,,,0.0256,2.25,0.008,18.5,723,5.784,,,,,
2,EI 075 4HO 24 ø0.179 ®,,,EI 075 4HO 24 ø0.179 ®,,EI-75C,76.16,Pulsar-A,N/A,EI-75C,N/A,Pulsar-B,,,,Aida,,,,,,,,,18,,Tech Cool 10-1,Si,65M800,,,0.0256,2.25,0.0025,18.5,723,1.8075,,,,,
3,EI 087 4HO 24 ø0.156 ®,,,EI 087 4HO 24 ø0.156 ®,,EI-87,77.8,Minster 30,N/A,EI-87,N/A,,,,,,,,,,,,,,18,,Tech Cool 10-1,Si,65M800,,,0.0256,2.625,0.0111,18.5,723,8.0253,,,,,
4,EI 087 4HO 24 ø0.156 ®,,,EI 087 4HO 24 ø0.156 ®,,EI-87,77.8,Minster 30,N/A,EI-87,N/A,,,,,,,,,,,,,,18,,Tech Cool 10-1,Si,65M800,,,0.0256,2.625,0.0036,18.5,723,2.6028,,,,,
5,EI 087 4HO 26 0.156,,,EI 087 4HO 26 0.156,,EI-87,77.8,Minster 30,N/A,EI-87,N/A,,,,,,,,,,,,,,18,,Tech Cool 10-1,Si,50M470,,,0.0197,2.625,0.0084,18.5,940,7.896,,,,,
6,EI 087 4HO 26 0.156,,,EI 087 4HO 26 0.156,,EI-87,77.8,Minster 30,N/A,EI-87,N/A,,,,,,,,,,,,,,18,,Tech Cool 10-1,Si,50M470,,,0.0197,2.625,0.0027,18.5,940,2.538,,,,,
7,EI 100 4HO 24 0.218,,,EI 100 4HO 24 0.218,,EI-100B,89,Pulsar A,N/A,EI-100B,N/A,Pulsar B,,,,,,,,,,,,27,18,,Tech Cool 10-1,Si,65A800,,,0.0256,3.000,0.0144,9.25,362,5.2128,,,,,
8,EI 100 4HO 24 0.218,,,EI 100 4HO 24 0.218,,EI-100B,89,Pulsar A,N/A,EI-100B,N/A,Pulsar B,,,,,,,,,,,,27,18,,Tech Cool 10-1,Si,65A800,,,0.0256,3.000,0.0047,9.25,362,1.7014,,,,,
9,EI 100 4HO 26 0.218,,,EI 100 4HO 26 0.218,,EI-100B,89,Pulsar B,N/A,EI-100B,N/A,Pulsar A,,,,,,,,,,,,27,18,,Tech cool 10-1,Si,50M400,50M350,,0.0197,3,0.011,9.25,470,5.17,,,,,
10,EI 100 4HO 26 0.218,,,EI 100 4HO 26 0.218,,EI-100B,89,Pulsar B,N/A,EI-100B,N/A,Pulsar A,,,,,,,,,,,,27,18,,Tech cool 10-1,Si,50M400,50M350,,0.0197,3,0.0035,9.25,470,1.645,,,,,
11,EI 175 4HO 24 ø0.281 ®,,,EI 175 4HO 24 ø0.281 ®,,EI-175,155.5,P-150B,Placas 4,EI-175,N/A,P-150A,Placas 4,,,,,,,,,,,,18,,Tech Cool 10-1,Si,65M800,,,0.0256,5.250,0.0446,9.25,362,16.1452,,,,,
12,EI 175 4HO 24 ø0.281 ®,,,EI 175 4HO 24 ø0.281 ®,,EI-175,155.5,P-150B,Placas 4,EI-175,N/A,P-150A,Placas 4,,,,,,,,,,,,18,,Tech Cool 10-1,Si,65M800,,,0.0256,5.250,0.0146,9.25,362,5.2852,,,,,
