,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N°,N° de Parte,Descripción del Cliente,Nivel de revisión,Laminación VCL,Referencia,Troquel,Paso troquel (mm),Prensa 1,Placas / Paralelas ,Stacker's,Bandas,Prensa 2,Placas / Paralelas 2,Stacker's 2,Bandas 2,Prensa 3,Placas / Paralelas 3,Stacker's 3,Bandas3,Prensa 4,Placas / Paralelas 4,Stacker's 4,Bandas 4,Long. Corte de alambre,Cal. de alambre,Tipo de alambre ,Lubricante,Horneado,Acero 1,Acero 2,Acero 3,Espesor (pulg.),Ancho de cinta (pulg.),Peso pieza (kg),Long. Alambre / stack  final (pulg.),Piezas por alambre,Peso del alambre (kg),Tamaño de caja (L*A*P),Alambres / Stack's por caja,Tamaño de tarima (L*A),Tipo de tarima,Característica especial
1,21-40-1,"ARMATURE LAMINATION, 9XXX SERIES ",,21-40-1,,21-40,24.7, Minster 30,N/A,21-40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Varilla 12"" - empaque ",N/A,N/A,Evaporativo,No,50M800,50M600,N/A,0.0197,1.89,0.00082,10.50,533,0.4371,12.6x8.6x6.7,40.000,40x40,,
2,21-40-2,"ARMATURE LAMINATION, 9XXX SERIES ",,21-40-2,,21-40,24.7,Minster 30,N/A,21-40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Varilla 12"" - empaque ",N/A,N/A,Evaporativo,No,50M800,50M600,N/A,0.0197,1.89,0.00080,10.5,533,0.4264,12.6x8.6x6.7,40.000,40x40,,
3,21-40-3,"ARMATURE LAMINATION, 9XXX SERIES ",,21-40-3,,21-40,24.7,Minster 30,N/A,21-40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Varilla 12"" - empaque ",N/A,N/A,Evaporativo,No,50M800,50M600,N/A,0.0197,1.89,0.00080,10.5,533,0.4264,12.6x8.6x6.7,40.000,40x40,,GPM 170
4,21-40-4,"ARMATURE LAMINATION, 9XXX SERIES ",,21-40-4,,21-40,24.7,Minster 30,N/A,21-40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Varilla 12"" - empaque ",N/A,N/A,Evaporativo,No,50M800,50M600,N/A,0.0197,1.89,0.00078,10.5,533,0.4157,12.6x8.6x6.7,40.000,40x40,,
5,21-41-1C,"ARMATURE LAMINATION, 8000",,21-41-1,,21-41,20,Minster 30,N/A,21-41,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Varilla - empaque,N/A,N/A,Evaporativo,No,50M600,N/A,N/A,0.0197,1.511,,10.5,533,0.0000,,,,,
6,21-41-2C,"ARMATURE LAMINATION, 8000",,21-41-2,,21-41,20,Minster 30,N/A,21-41,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Varilla 12"" - empaque",N/A,N/A,Evaporativo,No,50M600,50M800,N/A,0.0197,1.511,0.00060,10.5,533,0.3198,,,,,GPM 170
7,21-41-3C,"ARMATURE LAMINATION, 8000",,21-41-3,,21-41,20,Minster 30,N/A,21-41,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Varilla - empaque,N/A,N/A,Evaporativo,No,50M600,N/A,N/A,0.0197,1.511,,10.5,533,0.0000,,,,,
8,21-41-4C,"ARMATURE LAMINATION, 8000",,21-41-4,,21-41,20,Minster 30,N/A,21-41,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Varilla - empaque,N/A,N/A,Evaporativo,No,50M600,N/A,N/A,0.0197,1.511,,10.5,533,0.0000,,,,,
9,21-46-1C,LAMINATION ,,21-46-1,,21-46,20,Minster 30,N/A,21-46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Varilla - gomas,N/A,N/A,Evaporativo,No,35M300,N/A,N/A,0.0138,1.511,,10.5,761,0.0000,,,,,
10,21-46-2C,LAMINATION ,,21-46-2,,21-46,20,Minster 30,N/A,21-46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Varilla - gomas,N/A,N/A,Evaporativo,No,35M300,N/A,N/A,0.0138,1.511,,10.5,761,0.0000,,,,,
11,21-46-3C,LAMINATION ,,21-46-3,,21-46,20,Minster 30,N/A,21-46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Varilla - gomas,N/A,N/A,Evaporativo,No,35M300,N/A,N/A,0.0138,1.511,,10.5,761,0.0000,,,,,
12,21-48-1C,"ARMATURE LAMINATION, 14000 SERIES",,21-48-1,,21-48,33.2,Minster 30,N/A,21-48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,Evaporativo,No,,,,,2.472,,,#DIV/0!,#DIV/0!,,,,,
13,21-48-2C,"ARMATURE LAMINATION, 14000 SERIES",,21-48-2,,21-48,33.2,Minster 30,N/A,21-48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,Evaporativo,No,,,,,2.472,,,#DIV/0!,#DIV/0!,,,,,
14,21-48-3C,"ARMATURE LAMINATION, 14000 SERIES",,21-48-3,,21-48,33.2,Minster 30,N/A,21-48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Varilla,N/A,N/A,Evaporativo,No,50M800,,,0.0197,2.472,,10.5,533,0.0000,,,,,GPM 130
15,21-84-1,"LAMINATION, 30mm MOTOR",,21-84-1,,21-84,24.1,Minster 30,N/A,21-84,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,Evaporativo,No,50M470,50M350,,0.02,1.815,0.0007,10.5,525,0.3675,,,,,
16,3500034-1,"LAMINATION, 16 SLOT",,3500034,,3500034,53.4,Minster 30,,3500034,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,Evaporativo,No,,,,0.0197,2.141,0.00430,,0,0.0000,,,,,
17,3500034-2,"LAMINATION, 16 SLOT",,3500034,,3500034,53.4,Minster 30,,3500034,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,Evaporativo,No,,,,0.0197,2.141,0.00430,,0,0.0000,,,,,
18,3500034-3,"LAMINATION, 16 SLOT",,3500034,,3500034,53.4,Minster 30,,3500034,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,Evaporativo,No,,,,0.0197,2.141,0.00430,,0,0.0000,,,,,
19,3500035-1,"LAMINATION, 11 SLOT ",,35-1,,3500035-1,33.7,Minster 30,N/A,3500035-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,Evaporativo,No,50M470,,,0.0197,1.366,0.00160,10.5,533,0.8528,,,,,
