,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N°,N° de Parte,Descripción del Cliente,Nivel de revisión,Laminación VCL,Referencia,Troquel,Paso troquel (mm),Prensa 1,Placas / Paralelas ,Stacker's,Bandas,Prensa 2,Placas / Paralelas 2,Stacker's 2,Bandas 2,Prensa 3,Placas / Paralelas 3,Stacker's 3,Bandas3,Prensa 4,Placas / Paralelas 4,Stacker's 4,Bandas 4,Long. Corte de alambre,Cal. de alambre,Tipo de alambre ,Lubricante,Horneado,Acero 1,Acero 2,Acero 3,Espesor (pulg.),Ancho de cinta (pulg.),Peso pieza (kg),Long. Alambre / stack  final (pulg.),Piezas por alambre,Peso del alambre (kg),Tamaño de caja (L*A*P),Alambres / Stack's por caja,Tamaño de tarima (L*A),Tipo de tarima,Característica especial
1, 10-4565,FIELD PUNCHING-Galaxy-Stitched,,E10-4565,,GALAXY NUEVO,74.6,P-150A,Placas 10,N/A,B7-B11-B22,P-200A,Placas 10,N/A,,,,,,,,,,22,18,Recocido ,Tech cool 10-1,No,50M400,50M470,,0.0197,8.287,0.0082,,0,0.0000,,,40*40,Estandar,GPM 160
2,25340-1,FIELD STACK PUNCHING-Galaxy-Stitched,,E25340-1,,GALAXY NUEVO,74.6,P-150A,Placas 10,N/A,B7-B11-B22,P-200A,Placas 10,N/A,,,,,,,,,,N/A,N/A,Recocido ,Tech cool 10-1,No,50M400,50M470,,0.0197,8.287,0.0082,0.8,41,0.3362,,,40*40,Estandar,GPM 160
3,25340-2,FIELD STACK PUNCHING-Galaxy-Stitched,,E25340-2,,GALAXY NUEVO,74.6,P-150A,Placas 10,N/A,B7-B11-B22,P-200A,Placas 10,N/A,,,,,,,,,,N/A,N/A,Recocido ,Tech cool 10-1,No,50M400,50M470,,0.0197,8.287,0.0082,1.1,56,0.4592,,,40*40,Estandar,GPM 160
4,25340-3,FIELD STACK PUNCHING-Galaxy-Stitched,,E25340-3,,GALAXY NUEVO,74.6,P-150A,Placas 10,N/A,B7-B11-B22,P-200A,Placas 10,N/A,,,,,,,,,,N/A,N/A,Recocido ,Tech cool 10-1,No,50M400,50M470,,0.0197,8.287,0.0082,1.25,64,0.5248,,,40*40,Estandar,GPM 160
5,25340-4,FIELD STACK PUNCHING-Galaxy-Stitched,,E25340-4,,GALAXY NUEVO,74.6,P-150A,Placas 10,N/A,B7-B11-B22,P-200A,Placas 10,N/A,,,,,,,,,,N/A,N/A,Recocido ,Tech cool 10-1,No,50M400,50M470,,0.0197,8.287,0.0082,1.5,77,0.6314,,,40*40,Estandar,GPM 160
6,25340-5,FIELD STACK PUNCHING-Galaxy-Stitched,,E25340-5,,GALAXY NUEVO,74.6,P-150A,Placas 10,N/A,B7-B11-B22,P-200A,Placas 10,N/A,,,,,,,,,,N/A,N/A,Recocido ,Tech cool 10-1,No,50M400,50M470,,0.0197,8.287,0.0082,2,102,0.8364,,,40*40,Estandar,GPM 160
7, 10-2074,"ARM PUNCHING-22 SLOT, STEEL",,R10-2074,,GALAXY NUEVO,74.6,P-150A,Placas 10,GALAXY NUEVO,N/A,P-200A,Placas 10,GALAXY NUEVO,N/A,,,,,,,,,22,18,,Tech cool 10-1,No,,,,,8.287,,8.75,#DIV/0!,#DIV/0!,,500,40*40,Estandar,GPM 160
8,10-2074-1,ARMATURE PUNCHING,,R10-2074-1,,GALAXY NUEVO,74.6,P-150A,Placas 10,GALAXY NUEVO,N/A,P-200A,Placas 10,GALAXY NUEVO,N/A,,,,,,,,,22,18,Recocido ,Tech cool 10-1,No,50M400,50M470,,0.0197,8.287,0.0033,8.75,445,1.4685,,500,40*40,Estandar,GPM 160
9,10-2074-2,ARMATURE PUNCHING,,R10-2074-2,,GALAXY NUEVO,74.6,P-150A,Placas 10,GALAXY NUEVO,N/A,P-200A,Placas 10,GALAXY NUEVO,N/A,,,,,,,,,22,18,,Tech cool 10-1,No,,,,,8.287,,8.75,#DIV/0!,#DIV/0!,,500,40*40,Estandar,GPM 160
10,10-2074-3,ARMATURE PUNCHING,,R10-2074-3,,GALAXY NUEVO,74.6,P-150A,Placas 10,GALAXY NUEVO,N/A,P-200A,Placas 10,GALAXY NUEVO,N/A,,,,,,,,,22,18,,Tech cool 10-1,No,,,,,8.287,,8.75,#DIV/0!,#DIV/0!,,500,40*40,Estandar,GPM 160
