,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N°,N° de Parte,Descripción del Cliente,Nivel de revisión,Laminación VCL,Referencia,Troquel,Paso troquel (mm),Prensa 1,Placas / Paralelas ,Stacker's,Bandas,Prensa 2,Placas / Paralelas 2,Stacker's 2,Bandas 2,Prensa 3,Placas / Paralelas 3,Stacker's 3,Bandas3,Prensa 4,Placas / Paralelas 4,Stacker's 4,Bandas 4,Long. Corte de alambre,Cal. de alambre,Tipo de alambre ,Lubricante,Horneado,Acero 1,Acero 2,Acero 3,Espesor (pulg.),Ancho de cinta (pulg.),Peso pieza (kg),Long. Alambre / stack  final (pulg.),Piezas por alambre,Peso del alambre (kg),Tamaño de caja (L*A*P),Alambres / Stack's por caja,Tamaño de tarima (L*A),Tipo de tarima,Característica especial
1,E-678 24,,,E-678 24,,KRS 678,63.7,Minster 30,,KRS 678,N/A,,,,,,,,,,,,,,,,Tech Cool 10-1,No,,,,0.025,2.375,0.0115,6.5,260,2.99,,,,,
2,R-678 24,,,R-678 24,,KRS 678,63.7,Minster 30,,KRS 678,N/A,,,,,,,,,,,,,,,,Tech Cool 10-1,No,,,,0.025,2.375,0.002,6.5,260,0.52,,,,,
3,E-678 26,,,E-678 26,,KRS 678,63.7,Minster 30,,KRS 678,N/A,,,,,,,,,,,,,,,,Tech Cool 10-1,,,,,0.0197,2.375,0.0091,6.5,330,3.003,,,,,
4,R-678 26,,,R-678 26,,KRS 678,63.7,Minster 30,,KRS 678,N/A,,,,,,,,,,,,,,,,Tech Cool 10-1,,,,,0.0197,2.375,0.0016,6.5,330,0.528,,,,,
5,KS-1089 24,,,KS-1089 24,,KRS 1089,81.2,Bliss,Placas 3,KRS 1089,N/A,,,,,,,,,,,,,22,18,Recocido,Tech Cool 10-1,No,65M800,,,0.025,3.2,0.0095,6.5,260,2.47,,,,,
6,KR-1089 24,,,KR-1089 24,,KRS 1089,81.2,Bliss,Placas 3,KRS 1089,N/A,,,,,,,,,,,,,17,18,Recocido,Tech Cool 10-1,No,65M800,,,0.025,3.2,0.0048,6.5,260,1.248,,,,,
7,KS-1089 26,,,KS-1089 26,,KRS 1089,81.2,Bliss,Placas 3,KRS 1089,N/A,,,,,,,,,,,,,,,,,,,,,0.0197,3.2,0.0075,6.5,330,2.475,,,,,
8,KR-1089 26,,,KR-1089 26,,KRS 1089,81.2,Bliss,Placas 3,KRS 1089,N/A,,,,,,,,,,,,,,,,,,,,,0.0197,3.2,0.0038,6.5,330,1.254,,,,,
9,RS 1089 24,,,RS 1089 24,,KRS 1089,81.2,Bliss,Placas 3,KRS 1089,N/A,,,,,,,,,,,,,,,,Tech Cool 10-1,No,65M800,,,0.025,3.2,0.0125,6.5,260,3.25,,,,,
10,RS 1089 24,,,RS 1089 24,,KRS 1089,81.2,Bliss,Placas 3,KRS 1089,N/A,,,,,,,,,,,,,,,,Tech Cool 10-1,No,65M800,,,0.025,3.2,0.0049,6.5,260,1.274,,,,,
11,RS 1089 26,,,RS 1089 26,,KRS 1089,81.2,Bliss,Placas 3,KRS 1089,N/A,,,,,,,,,,,,,,,,,No,,,,0.0197,3.200,0.0093,6.5,330,3.069,,,,,
12,RS 1089 26,,,RS 1089 26,,KRS 1089,81.2,Bliss,Placas 3,KRS 1089,N/A,,,,,,,,,,,,,,,,,No,,,,0.0197,3.200,0.0038,6.5,330,1.254,,,,,
13,RS 45 24,,,RS 45 24,,RS 45-42,116.5,P-150 A,Placas 2,RS 45-42,N/A,,,,,,,,,,,,,25,18,Recocido,Tech Cool 10-1,No,65M800,,,0.025,4.573,0.0247,6.5,260,6.422,,,,,
14,RS 45 24,,,RS 45 24,,RS 45-42,116.5,P-150 A,Placas 2,RS 45-42,N/A,,,,,,,,,,,,,23,18,Recocido,Tech Cool 10-1,No,65M800,,,0.025,4.573,0.0131,6.5,260,3.406,,,,,
15,RS 45 26,,,RS 45 26,,RS 45-42,116.5,P-150 A,Placas 2,RS 45-42,N/A,,,,,,,,,,,,,25,18,Recocido,Tech Cool 10-1,No,,,,0.0197,4.573,0.0186,6.5,330,6.138,,,,,
16,RS 45 26,,,RS 45 26,,RS 45-42,116.5,P-150 A,Placas 2,RS 45-42,N/A,,,,,,,,,,,,,23,18,Recocido,Tech Cool 10-1,No,,,,0.0197,4.573,0.0102,6.5,330,3.366,,,,,
