,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N°,N° de Parte,Descripción del Cliente,Nivel de revisión,Laminación VCL,Referencia,Troquel,Paso troquel (mm),Prensa 1,Placas / Paralelas ,Stacker's,Bandas,Prensa 2,Placas / Paralelas 2,Stacker's 2,Bandas 2,Prensa 3,Placas / Paralelas 3,Stacker's 3,Bandas3,Prensa 4,Placas / Paralelas 4,Stacker's 4,Bandas 4,Long. Corte de alambre,Cal. de alambre,Tipo de alambre ,Lubricante,Horneado,Acero 1,Acero 2,Acero 3,Espesor (pulg.),Ancho de cinta (pulg.),Peso pieza (kg),Long. Alambre / stack  final (pulg.),Piezas por alambre,Peso del alambre (kg),Tamaño de caja (L*A*P),Alambres / Stack's por caja,Tamaño de tarima (L*A),Tipo de tarima,Característica especial
1,EI 175 4HO 26 0.281,,,EI 175 4HO 26 0.281,,EI-175,155.5,P-150B,Placas 4,EI-175,N/A,P-150A,Placas 4,,,Bliss,N/A,EI-175,N/A,,,,,32,18,,Tech Cool 10-1,Si,50M470,50M400,,0.0197,5.25,0.0338,9.25,470,15.886,,,,Estufada,GPM 160
2,EI 175 4HO 26 0.281,,,EI 175 4HO 26 0.281,,EI-175,155.5,P-150B,Placas 4,EI-175,N/A,P-150A,Placas 4,,,Bliss,N/A,EI-175,N/A,,,,,32,18,,Tech Cool 10-1,Si,50M470,50M400,,0.0197,5.25,0.0111,9.25,470,5.217,,,,Estufada,
3,EI-3P180 M50 26,,,EI-3P180 M50 26,,EI-180-3P,320.04,P-150B,Placas 6,EI-180-3P,,Minster 100,Placas 13,,,,,,,,,,,,18,,Evaporativo,Si,50M470,,,0.0197,9,0.0995,3,153,15.2235,,,,Estufada,
4,EI-3P180 M50 26,,,EI-3P180 M50 26,,EI-180-3P,320.04,P-150B,Placas 6,EI-180-3P,,Minster 100,Placas 13,,,,,,,,,,,,18,,Evaporativo,Si,50M470,,,0.0197,9,0.0395,3,153,6.0435,,,,Estufada,
5,EI 212 4HO 26 0.328,,,EI 212 4HO 26 0.328,,EI-212,215.8,Bliss,N/A,EI-212,N/A,Minster 100,N/A,EI-212,N/A,,,,,,,,,23,18,Recocido,Tech Cool 10-1,Si,50M400,50M330,50M510,0.0197,6.375,0.05,4.625,235,11.75,,,,Estufada,
6,EI 212 4HO 26 0.328,,,EI 212 4HO 26 0.328,,EI-212,215.8,Bliss,N/A,EI-212,N/A,Minster 100,N/A,EI-212,N/A,,,,,,,,,23,18,Recocido,Tech Cool 10-1,Si,50M400,50M330,50M510,0.0197,6.375,0.0165,4.625,235,3.8775,,,,Estufada,
7,EI 212 4HO 29 0.328,,,EI 212 4HO 29 0.328,,EI-212,215.8,Bliss,N/A,EI-212,N/A,Minster 100,N/A,EI-212,N/A,,,,,,,,,,18,,Tech Cool 10-1,Si,35M300,,,0.0138,6.375,0.0345,4.625,336,11.592,,,,Estufada,
8,EI 212 4HO 29 0.328,,,EI 212 4HO 29 0.328,,EI-212,215.8,Bliss,N/A,EI-212,N/A,Minster 100,N/A,EI-212,N/A,,,,,,,,,,18,,Tech Cool 10-1,Si,35M300,,,0.0138,6.375,0.0113,4.625,336,3.7968,,,,Estufada,
9,EI-3P240 26,,,EI-3P240 26,,EI-240-3P,426.72,P-150A,N/A,EI-240-3P,N/A,P-200A,Placas 6,N/A,B8,P-200B,Placas 6,,,,,,,26,18,Cocido,Evaporativo,Si,50M400,,,0.0197,12.000,0.1774,3,153,27.1422,,,,Estufada,
10,EI-3P240 26,,,EI-3P240 26,,EI-240-3P,426.72,P-150A,N/A,EI-240-3P,N/A,P-200A,Placas 6,N/A,B8,P-200B,Placas 6,,,,,,,38,18,Cocido,Evaporativo,Si,50M400,,,0.0197,12.000,0 .0704 ,6,305,#VALUE!,,,,Estufada,
