,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N°,N° de Parte,Cliente ,Descripción de cliente ,Laminación VCL,Referencia,Troquel,Paso troquel (mm),Prensa principal,Placas / Paralelas,Stacker´s,Bandas,Prensa alterna 1,Placas / Paralelas2,Stacker´s2,Bandas2,Prensa alterna 2,Placas / Paralelas3,Stacker's ,Bandas3,Prensa alterna 3,Placas / Paralelas4,Stacker's 3,Bandas4,Long. alambre para corte,Cal. de alambre,Tipo de alambre,Lubricante,Horneado,Acero 1,Acero 2,Acero 3,Espesor (pulg.),Ancho de cinta (pulg.),Peso pieza (kg),Long. Alambre / stack  final (pulg.),Piezas por alambre,Peso de alambre (kg),Tamaño de caja (L*A*P),Alambres / Stack´s por caja,Tamaño de tarima (L*A),Tipo de tarima,Característica especial
1,EI 625 HO 29 ø0.150 ®,NORATEL ,,EI 625 HO 29 ø0.150 ®,,EI-625,,Minster 30,N/A,EI-625,N/A,,,,,,,,,,,,,38,18,Cocido,Evaporativo,,,,,0.0138,1.875,,18.5,1341,0.000,,,,,
2,EI 625 HO 29 ø0.150 ®,NORATEL ,,EI 625 HO 29 ø0.150 ®,,EI-625,,Minster 30,N/A,EI-625,N/A,,,,,,,,,,,,,38,18,Cocido,Evaporativo,,,,,0.0138,1.875,,18.5,1341,0.000,,,,,
3,EI 100 4HO 26 ø0.218 ®,COILTRAN,,EI 100 4HO 26 ø0.218 ®,,EI-100B,89,Pulsar-A,N/A,EI-100B,N/A,Pulsar-B,N/A,EI-100B,N/A,,,,,,,,,27,18,Cocido ,Tech cool 10-1,,,,,0.0197,3.000,0.011,9.25,470,5.170,,,,,
4,EI 100 4HO 26 ø0.218 ®,COILTRAN,,EI 100 4HO 26 ø0.218 ®,,EI-100B,89,Pulsar-A,N/A,EI-100B,N/A,Pulsar-B,N/A,EI-100B,N/A,,,,,,,,,27,18,Cocido ,Tech cool 10-1,,,,,0.0197,3.000,0.0035,9.25,470,1.645,,,,,
5,EI 112 4HO 26 0.218,SCHNEIDER,,EI 112 4HO 26 ø0.218 ®,,EI-112,100,Minster 30,Placas 12,EI-112,N/A,P-150B,Placas 12,,,,,,,,,,,,18,,Tech cool 10-1,,,,,0.0197,3.375,0.0139,18.5,940,13.066,,,,,
6,EI 112 4HO 26 0.218,SCHNEIDER,,EI 112 4HO 26 ø0.218 ®,,EI-112,100,Minster 30,Placas 12,EI-112,N/A,P-150B,Placas 12,,,,,,,,,,,,18,,Tech cool 10-1,,,,,0.0197,3.375,0.0045,18.5,940,4.230,,,,,
7,EI 112 4HO 29 ø0.218 ®,SHAPE,,EI 112 4HO 29 ø0.218 ®,,EI-112,100,Minster 30,Placas 12,EI-112,N/A,P-150B,Placas 12,,,,,,,,,,,,18,,Tech cool 10-1,,,,,0.0138,3.375,,18.5,1341,0.000,,,,,
8,EI 112 4HO 29 ø0.218 ®,SHAPE,,EI 112 4HO 29 ø0.218 ®,,EI-112,100,Minster 30,Placas 12,EI-112,N/A,P-150B,Placas 12,,,,,,,,,,,,18,,Tech cool 10-1,,,,,0.0138,3.375,,18.5,1341,0.000,,,,,
9,EI 125 4HO 26 ø0.218 ®,SCHNEIDER,,EI 125 4HO 26 ø0.218 ®,,EI-125,111.1,Aida,Placas 2,EI-125,N/A,P-150B,Placas 4,EI-125,N/A,P-150A,Placas 4,EI-125,N/A,Minster 30,,,,29,18,Cocido ,Tech cool 10-1,,,,,0.0197,3.750,0.0172,9.25,470,8.084,,,,,
10,EI 125 4HO 26 ø0.218 ®,SCHNEIDER,,EI 125 4HO 26 ø0.218 ®,,EI-125,111.1,Aida,Placas 2,EI-125,N/A,P-150B,Placas 4,EI-125,N/A,P-150A,Placas 4,EI-125,N/A,Minster 30,,,,29,18,Cocido ,Tech cool 10-1,,,,,0.0197,3.750,0.0056,9.25,470,2.632,,,,,
