,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N°,N° de Parte,Descripción del Cliente,Nivel de revisión,Laminación VCL,Referencia,Troquel,Paso troquel (mm),Prensa 1,Placas / Paralelas ,Stacker's,Bandas,Prensa 2,Placas / Paralelas 2,Stacker's 2,Bandas 2,Prensa 3,Placas / Paralelas 3,Stacker's 3,Bandas3,Prensa 4,Placas / Paralelas 4,Stacker's 4,Bandas 4,Long. Corte de alambre,Cal. de alambre,Tipo de alambre ,Lubricante,Horneado,Acero 1,Acero 2,Acero 3,Espesor (pulg.),Ancho de cinta (pulg.),Peso pieza (kg),Long. Alambre / stack  final (pulg.),Piezas por alambre,Peso del alambre (kg),Tamaño de caja (L*A*P),Alambres / Stack's por caja,Tamaño de tarima (L*A),Tipo de tarima,Característica especial
1,LAM-3024-003,CORE-2.375 X 3.00 X 1.00 BLOCK,,3024-003,,1024-001,76.2,Pulsar-A,N/A,N/A,,Pulsar-B,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Evaporativo,,50M470,,,0.0197,2.375,0.0175,1,51,0.8925,26*26*16,,26*26,Estándar,
2,AD LAM-3024-004,CORE 2.375x3.0x1.00 BLOCK 29GA. (.014) M6 STEEL,,3024-004,,1024-001,76.2,Pulsar-A,N/A,N/A,,Pulsar-B,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Evaporativo,,M6,,,0.0138,2.375,0.012,1,73,0.8760,26*26*16,,26*26,Estándar,
3,AD LAM-3024-007,CORE 2.375x3.0x2.00 BLOCK 26GA. (0185) M50 STEEL,,3024-007,,1024-001,76.2,Pulsar-A,N/A,N/A,,Pulsar-B,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Evaporativo,,,,,0.0197,2.375,0.0175,2,102,1.7850,26*26*16,,26*26,Estándar,
4,LAM-1024-001,CORE NON-ORIENTED 2.375 x 3 M50,,1024-001,,1024-001,76.2,Pulsar-A,N/A,1024-001,N/A,Pulsar-B,N/A,1024-001,N/A,Pulsar C,N/A,1024-001,N/A,N/A,N/A,N/A,N/A,27,18,Recocido ,Evaporativo,Si,50M470,50M600,,0.0197,2.375,0.0175,9.25,470,8.2250,26*26*16,72,26*26,Estándar,Ninguna
5,LAM-1024-002,CORE M6 2.375 x 3.0 29 GA,04,1024-002,,1024-001,76.2,Pulsar-A,N/A,1024-001,N/A,Pulsar-B,N/A,1024-001,N/A,Pulsar C,N/A,1024-001,N/A,N/A,N/A,N/A,N/A,27,18,Recocido ,Evaporativo,Si,35M145,,,0.0138,2.375,0.012,9.25,671,8.0520,26*26*16,72,26*26,Estándar,Ninguna
6,LAM-1036-004,CORE M6 3.6 X 3.0 29 GA,6,1036-004,,1036-006,76.2,Pulsar-A,N/A,N/A,B10,Pulsar-B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28,18,Recocido ,Evaporativo,Si,35Q145,,,0.0138,3.6,0.0184,9.25,671,12.3464,26*26*16,,26*26,Estándar,Rellenar espacio sobrante con papel. GPM 200
7,LAM-1036-006,CORE NON-ORIENTED 3.6X3,,1036-006,,1036-006,76.2,Pulsar-A,N/A,N/A,B10,Pulsar-B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28,18,Recocido ,Evaporativo,Si,50M400,50M350,50M330,0.0197,3.6,0.0266,9.25,470,12.5020,26*26*16,54,26*26,Estándar,Rellenar espacio sobrante con papel. GPM 200
8,AD LAM-3036-015,CORE M19 3.6X3X1.5 BLOCK,,3036-015,,1036-006,76.2,Pulsar-A,N/A,N/A,B10,Pulsar-B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,50M400,,,0.0197,3.6,0.0184,1.5,77,1.4168,26*26*16,,26*26,Estándar,
9,AD LAM-3036-019,CORE M19 3.6X2X1.5 BLOCK,,3036-019,,1036-008,50.8,Pulsar-A,N/A,1036-008,N/A,Pulsar-B,N/A,1036-008,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Evaporativo,Si,50M400,,,0.0197,3.6,0.0177,1.5,77,1.3629,26*26*16,,26*26,Estándar,
10,LAM-1036-008,CORE M19 NON-ORIENTED 2.00 X 3.600,03,1036-008,,1036-008,50.8,Pulsar-A,N/A,1036-008,N/A,Pulsar-B,N/A,1036-008,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26,18,Cocido,Evaporativo,Si,50M800,50M400,50M330,0.0197,3.6,0.0177,9.25,470,8.3190,26*26*16,64,26*26,Estándar,Rellenar espacio sobrante con papel. GPM 170
