,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N°,N° de Parte,Descripción del Cliente,Nivel de revisión,Laminación VCL,Referencia,Troquel,Paso troquel (mm),Prensa 1,Placas / Paralelas ,Stacker's,Bandas,Prensa 2,Placas / Paralelas 2,Stacker's 2,Bandas 2,Prensa 3,Placas / Paralelas 3,Stacker's 3,Bandas3,Prensa 4,Placas / Paralelas 4,Stacker's 4,Bandas 4,Long. Corte de alambre,Cal. de alambre,Tipo de alambre ,Lubricante,Horneado,Acero 1,Acero 2,Acero 3,Espesor (pulg.),Ancho de cinta (pulg.),Peso pieza (kg),Long. Alambre / stack  final (pulg.),Piezas por alambre,Peso del alambre (kg),Tamaño de caja (L*A*P),Alambres / Stack's por caja,Tamaño de tarima (L*A),Tipo de tarima,Característica especial
1,DP-DSA-18.6,DP-DSA-0618,,DP-DSA-18.6,,N/A,N/A,CTL-A,,N/A,N/A,CTL-B,,,,N/A,,,,N/A,,,,,N/A,N/A,Evaporativo,No,M6,,,0.138,3.6,,2,15,0,,,,Estufada,
2,DP-DSA-6.15,DP-DSA-0618,,DP-DSA-6.15,,N/A,N/A,CTL-A,,N/A,N/A,CTL-B,,,,N/A,,,,N/A,,,,,N/A,N/A,Evaporativo,No,M6,,,0.0138,3.6,,2,145,0,,,,Estufada,
3,DP-DSA-8.7,DP-DSA-0618,,DP-DSA-8.7,,N/A,N/A,CTL-A,,N/A,N/A,CTL-B,,,,N/A,,,,N/A,,,,,N/A,N/A,Evaporativo,No,M6,,,0.0138,3.6,,2,145,0,,,,Estufada,
4,EI 087 4HO 26 0.156,,,EI 087 4HO 26 0.156,,EI-87,77.8,Minster 30,N/A,EI-87,N/A,,,,,,,,,,,,,,,,,,,,,0.0197,2.625,0.0084,18.5,940,7.896,,,,Estufada,
5,EI 087 4HO 26 0.156,,,EI 087 4HO 26 0.156,,EI-87,77.8,Minster 30,N/A,EI-87,N/A,,,,,,,,,,,,,,,,,,,,,0.0197,2.625,0.0027,18.5,940,2.538,,,,Estufada,
6,EI 100 4HO 29 0.218,,,EI 100 4HO 29 0.218,,EI-100B,89,Pulsar-B,N/A,EI-100B,N/A,,,,,,,,,,,,,,18,,Evaporativo,Si,M6,,,0.0138,3,0.0024,9.25,671,1.6104,,,,Estufada,
7,EI 100 4HO 29 0.218,,,EI 100 4HO 29 0.218,,EI-100B,89,Pulsar-B,N/A,EI-100B,N/A,,,,,,,,,,,,,,18,,Evaporativo,Si,M6,,,0.0138,3,0.0075,9.25,671,5.0325,,,,Estufada,
8,EI 125 4HO 29 0.218,,,EI 125 4HO 29 0.218,,EI-125,111.1,Aida ,Placas 2,EI-125,N/A,P-150B,Placas 4,EI-125,N/A,,,,,,,,,,18,,Evaporativo,Si,M6,,,0.0138,3.75,0.0119,9.25,671,7.9849,,,,Estufada,
9,EI 125 4HO 29 0.218,,,EI 125 4HO 29 0.218,,EI-125,111.1,Aida,Placas 2,EI-125,N/A,P-150B,Placas 4,EI-125,N/A,,,,,,,,,,18,,Evaporativo,Si,M6,,,0.0138,3.75,0.0039,9.25,671,2.6169,,,,Estufada,
10,EI 150 4HO 26 0.218,,,EI 150 4HO 26 0.218,,EI-150,152.35,Aida,Placas 2,EI-150,N/A,,,,,,,,,,,,,25,18,,Tech Cool 10-1,Si,50M400,50M350,,0.0197,4.5,0.025,6.25,318,7.95,,,,Estufada,
11,EI 150 4HO 26 0.218,,,EI 150 4HO 26 0.218,,EI-150,152.35,Aida,Placas 2,EI-150,N/A,,,,,,,,,,,,,25,18,,Tech Cool 10-1,Si,50M400,50M350,,0.0197,4.5,0.008,6.25,318,2.544,,,,Estufada,
12,EI 150 4HO 29 0.218,,,EI 150 4HO 29 0.218,,EI-150,152.35,Aida ,Placas 2,EI-150,N/A,P-150A,,,,,,,,,,,,,18,,Evaporativo,Si,M6,,,0.0138,4.5,0.0172,6.25,453,7.7916,,,,Estufada,
13,EI 150 4HO 29 0.218,,,EI 150 4HO 29 0.218,,EI-150,152.35,Aida ,Placas 2,EI-150,N/A,P-150A,,,,,,,,,,,,,18,,Evaporativo,Si,M6,,,0.0138,4.5,0.0057,6.25,453,2.5821,,,,Estufada,
