,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N°,N° de Parte,Descripción de cliente ,Laminación VCL,Referencia,Troquel,Paso troquel (mm),Prensa principal,Placas / Paralelas,Stacker´s,Bandas,Prensa alterna 1,Placas / Paralelas2,Stacker´s2,Bandas2,Prensa alterna 2,Placas / Paralelas3,Stacker's ,Bandas3,Prensa alterna 3,Placas / Paralelas4,Stacker's 3,Bandas4,Long. alambre para corte,Cal. de alambre,Tipo de alambre,Lubricante,Horneado,Acero 1,Acero 2,Acero 3,Espesor (pulg.),Ancho de cinta (pulg.),Peso pieza (kg),Long. Alambre / stack  final (pulg.),Piezas por alambre,Peso de alambre (kg),Tamaño de caja (L*A*P),Alambres / Stack´s por caja,Tamaño de tarima (L*A),Tipo de tarima,Característica especial
1,EI 50 HO 26 0.125,,EI 050 HO 26 0.125,,EI-50,47.65,Minster 30,N/A,EI-50,N/A,,,,,,,,,,,,,44,18,Recocido,Tech Cool 10-1, Si,50M470,,,0.0197,1.625,0.003,18.5,1341,0.000,,,,,
2,EI 50 HO 26 0.125,,EI 050 HO 26 0.125,,EI-50,47.65,Minster 30,N/A,EI-50,N/A,,,,,,N/A,,,,,,,44,18,Recocido,Tech Cool 10-1,Si,50M470,,,0.0197,1.625,0.0010,18.5,1341,0.000,,,,,
3,EI 50 HO 29 0.125,,EI 050 HO 29 0.125,,EI-50,47.65,Minster 30,N/A,EI-50,N/A,,,,,,,,,,,,,44,18,,Tech Cool 10-1,,35M140,,,0.0138,,,18.5,470,5.170,,,,,
4,EI 50 HO 29 0.125,,EI 050 HO 29 0.125,,EI-50,47.65,Minster 30,N/A,EI-50,N/A,,,,,,,,,,,,,44,18,,Tech Cool 10-1,,35M140,,,0.0138,,,18.5,470,1.645,,,,,
5,EI 075 HO 29 ø0.125 ®,,EI 075 HO 29 ø0.125 ®,,EI-75,76.16,Pulsar A,N/A,EI-75C,N/A,Pulsar B,,,,Aida,,,,,,,,44,18,Cocido ,Tech cool 10-1,,35M145,,,0.0138,,,18.5,,,,,,,GPM 200
6,EI 075 HO 29 ø0.125 ®,,EI 075 HO 29 ø0.125 ®,,EI-75,76.16,Pulsar A,N/A,EI-75C,N/A,Pulsar B,,,,Aida,,,,,,,,44,18,Cocido ,Tech cool 10-1,,35M 145,,,0.0138,,,18.5,,,,,,,GPM 200
7,EI 087 4HO 29 ø0.156 ®,,EI 087 4HO 29 ø0.156 ®,,EI-87,77.8,Minster 30,N/A,EI-87,N/A,,,,,,,,,,,,,44,18,,Evaporativo,Si,35M145,,,0.0138,,,18.5,1341,0.000,,,,,GPM 250
8,EI 087 4HO 29 ø0.156 ®,,EI 087 4HO 29 ø0.156 ®,,EI-87,77.8,Minster 30,N/A,EI-87,N/A,,,,,,,,,,,,,44,18,,Evaporativo,Si,35M145,,,0.0138,,,18.5,1341,0.000,,,,,GPM 250
9,EI 150 4HO 26 ø0.218 ®,,EI 150 4HO 26 ø0.218 ®,,EI 150,152.35,Aida,Placas 2,EI-150,N/A,Bliss,N/A,EI-150,N/A,,,,,,,,,25,18,Recocido ,Tech cool 10-1,Si,50M800,,,0.0197,4.500,0.0250,6.25,318,7.950,,144,,,GPM 160
10,EI 150 4HO 26 ø0.218 ®,,EI 150 4HO 26 ø0.218 ®,,EI 150,152.35,Aida,Placas 2,EI-150,N/A,Bliss,N/A,EI-150,N/A,,,,,,,,,25,18,Recocido ,Tech cool 10-1,Si,50M800,,,0.0197,4.500,0.0080,6.25,318,2.544,,144,,,GPM 160
11,EI 150 4HO 29 ø0.218 ®,,EI 150 4HO 29 ø0.218 ®,,EI 150,152.35,Aida,Placas 2,EI-150,N/A,Bliss,N/A,EI-150,N/A,,,,,,,,,25,18,Recocido ,Tech cool 10-1,Si,35M145,,,0.0138,4.500,,6.25,671,,,144,,,GPM 160
12,EI 150 4HO 29 ø0.218 ®,,EI 150 4HO 29 ø0.218 ®,,EI 150,152.35,Aida,Placas 2,EI-150,N/A,Bliss,N/A,EI-150,N/A,,,,,,,,,25,18,Recocido ,Tech cool 10-1,Si,35M145,,,0.0138,4.500,,6.25,318,,,144,,,GPM 160
