,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N°,N° de Parte,Descripción del Cliente,Nivel de revisión,Laminación VCL,Referencia,Troquel,Paso troquel (mm),Prensa 1,Placas / Paralelas ,Stacker's,Bandas,Prensa 2,Placas / Paralelas 2,Stacker's 2,Bandas 2,Prensa 3,Placas / Paralelas 3,Stacker's 3,Bandas3,Prensa 4,Placas / Paralelas 4,Stacker's 4,Bandas 4,Long. Corte de alambre,Cal. de alambre,Tipo de alambre ,Lubricante,Horneado,Acero 1,Acero 2,Acero 3,Espesor (pulg.),Ancho de cinta (pulg.),Peso pieza (kg),Long. Alambre / stack  final (pulg.),Piezas por alambre,Peso del alambre (kg),Tamaño de caja (L*A*P),Alambres / Stack's por caja,Tamaño de tarima (L*A),Tipo de tarima,Característica especial
1,16655944,LAM; STATOR 56FR 2PL TP5,,E16655944,,RS 56 2P USA,153.4,P-150B,N/A,RS-56-2P USA,N/A,P-200B,Placas 14- Paralelas 300,,,,,,,,,,,,,,,,50M800,,,0.0197,5.866,,,0,0,,,,,
2,16655943,LAM; ROTOR 56FR 2PL TP5,,R16655943,,RS 56 2P USA,153.4,P-150B,N/A,RS-56-2P USA,N/A,P-200B,Placas 14- Paralelas 300,,,,,,,,,,,,,,,,50M800,,,0.0197,5.866,,,0,0,,,,,
3,16665830,LAM; ROTOR 56FR 2PL TP5,,R16665830,,RS 56 2P USA,153.4,P-150B,N/A,RS-56-2P USA,N/A,P-200B,Placas 14- Paralelas 300,,,,,,,,,,,,,,,,50M800,,,0.0197,5.866,,,0,0,,,,,
4,16659610,LAM; STATOR 56FR 2PL TP5,,E16659610,,RS 56 2P USA,153.4,P-150B,N/A,RS-56-2P USA,N/A,P-200B,Placas 14- Paralelas 300,,,,,,,,,,,,,,,,50M470,,,0.0197,5.866,,,0,0,,,,,
5,16665836,LAM; ROTOR 56FR 2PL TP5,,R16665836,,RS 56 2P USA,153.4,P-150B,N/A,RS-56-2P USA,N/A,P-200B,Placas 14- Paralelas 300,,,,,,,,,,,,,,,,50M470,,,0.0197,5.866,,,0,0,,,,,
6,16659609,LAM; ROTOR 56FR 2PL TP5,,R16659609,,RS 56 2P USA,153.4,P-150B,N/A,RS-56-2P USA,N/A,P-200B,Placas 14- Paralelas 300,,,,,,,,,,,,,,,,50M470,,,0.0197,5.866,,,0,0,,,,,
7,16656078,STATOR PLATE 56 FR 2P,,16656078,,RS 56 2P USA,153.4,P-150B,N/A,RS-56-2P USA,N/A,P-200B,Placas 14- Paralelas 300,,,,,,,,,,,,,,Tech Cool 10-1,No,65M600,,,0.256,5.866,,,0,0,,,,,GPM 110/170
8,16655945,ROTOR LAMIN ASSY FR 56 2P,,16655945,,RS 56 2P USA,153.4,P-150B,N/A,RS-56-2P USA,N/A,P-200B,Placas 14- Paralelas 300,,,,,,,,,,,,,,Tech Cool 10-1,No,65M800,,,0.256,5.866,,,0,0,,,,,GPM 110/170
9,17657483,ROTOR LAMIN ASSY FR 56 2P,,17657483,,RS 56 2P USA,153.4,P-150B,N/A,RS-56-2P USA,N/A,P-200B,Placas 14- Paralelas 300,,,,,,,,,,,,,,Tech Cool 10-1,No,65M600,65M800,,0.256,5.866,,,0,0,,,,,GPM 110/170
10,16656840,LAM;STATOR;56FR;4PL;TP5,,E16656840,,RS 56 4P USA,153.4,P-150B,N/A,RS 56 4P USA,N/A,P-200A,P6 / P7,56-4P,,,,,,,,,,15,18,,Tech Cool 10-1,,50M470,,,0.0197,5.866,0.0394,11,559,22.0246,,,,,
11,16666627,LAM; ROTOR 56FR 4PL LR TP5,,R16666627,,RS 56 4P USA,153.4,P-150B,N/A,RS 56 4P USA,N/A,P-200A,P6 / P7,56-4P,,,,,,,,,,,,,,,50M470,,,0.0197,5.866,,,0,0,,,,,
12,16656741,LAM; ROTOR 56FR 4PL LR TP5,,R16656741,,RS 56 4P USA,153.4,P-150B,N/A,RS 56 4P USA,N/A,P-200A,P6 / P7,56-4P,,,,,,,,,,21,18,,Tech Cool 10-1,,50M470,,,0.0197,5.866,0.0187,5.5,280,5.236,,,,,
13,16666775,LAM; ROTOR 56FR 4PL HR TP5,,R16666775,,RS 56 4P USA,153.4,P-150B,N/A,RS 56 4P USA,N/A,P-200A,P6 / P7,56-4P,,,,,,,,,,,,,,,50M470,,,0.0197,5.866,,,0,0,,,,,
14,16666871,LAM; ROTOR 56FR 4PL HR TP5,,R16666871,,RS 56 4P USA,153.4,P-150B,N/A,RS 56 4P USA,N/A,P-200A,P6 / P7,56-4P,,,,,,,,,,,,,,,50M470,,,0.0197,5.866,,,0,0,,,,,
15,16656745,LAM;STATOR;56FR;4PL;TP4,,E16656745,,RS 56 4P USA,153.4,P-150B,N/A,RS 56 4P USA,N/A,P-200A,P6 / P7,56-4P,,,,,,,,,,15,18,,Tech Cool 10-1,Si,50M800,65M800,,0.0197,5.866,0.0394,5.5,280,11.032,,,,,
16,16656083,LAM; ROTOR 56FR 4PL HR TP4,,R16656083,,RS 56 4P USA,153.4,P-150B,N/A,RS 56 4P USA,N/A,P-200A,P6 / P7,56-4P,,,,,,,,,,,,,Tech Cool 10-1,Si,50M800,,,0.0197,5.866,,,0,0,,,,,
17,16666623,LAM; ROTOR 56FR 4PL HR TP4,,R16666623,,RS 56 4P USA,153.4,P-150B,N/A,RS 56 4P USA,N/A,P-200A,P6 / P7,56-4P,,,,,,,,,,21,18,,Tech Cool 10-1,Si,50M800,65M800,,0.0197,5.866,0.0187,5.5,280,5.236,,,,,
18,16665971,LAM; ROTOR 56FR 4PL HR TP4,,R16665971,,RS 56 4P USA,153.4,P-150B,N/A,RS 56 4P USA,N/A,P-200A,P6 / P7,56-4P,,,,,,,,,,,,,Tech Cool 10-1,Si,50M800,,,0.0197,5.866,,,0,0,,,,,
19,16666457,LAM; ROTOR 56FR 4PL HR TP4,,R16666457,,RS 56 4P USA,153.4,P-150B,N/A,RS 56 4P USA,N/A,P-200A,P6 / P7,56-4P,,,,,,,,,,,,,Tech Cool 10-1,Si,50M800,,,0.0197,5.866,,,0,0,,,,,
20,16656747,STATOR PLATE 56 FR 4P,,E16656747,,RS 56 4P USA,153.4,P-150B,N/A,RS 56 4P USA,N/A,P-200A,P6 / P7,56-4P,,,,,,,,,,,,,Tech Cool 10-1,No,65M800,,,0.0256,5.866,,5.5,215,0,,,,,GPM 105/160
21,16656084,ROTOR LAMIN ASSY FR 56 4P,,R16656084,,RS 56 4P USA,153.4,P-150B,N/A,RS 56 4P USA,N/A,P-200A,P6 / P7,56-4P,,,,,,,,,,,,,Tech Cool 10-1,No,65M800,,,0.0256,5.866,,5.5,215,0,,,,,GPM 105/160
22,17657143,ROTOR LAMIN ASSY FR 56 4P,,R17657143,,RS 56 4P USA,153.4,P-150B,N/A,RS 56 4P USA,N/A,P-200A,P6 / P7,56-4P,,,,,,,,,,,,,Tech Cool 10-1,No,65M600,,,0.0256,5.866,,5.5,215,0,,,,,GPM 105/160
23,17657144,ROTOR LAMIN ASSY FR56 4P,,R17657144,,RS 56 4P USA,153.4,P-150B,N/A,RS 56 4P USA,N/A,P-200A,P6 / P7,56-4P,,,,,,,,,,,,,Tech Cool 10-1,No,65M800,,,0.0256,5.866,,5.5,215,0,,,,,
24,17657146,ROTOR LAMIN ASSY FR56 4P,,R17657146,,RS 56 4P USA,153.4,P-150B,N/A,RS 56 4P USA,N/A,P-200A,P6 / P7,56-4P,,,,,,,,,,,,,Tech Cool 10-1,No,65M800,,,0.0256,5.866,,5.5,215,0,,,,,
25,16667152/3,LAM; STATOR 48FR 2PL TP4,,E16667152,,RS 48 2P USA,137.3,P-150B,Placas 8,RS 48 2P USA,N/A,,,,,,,,,,,,,,,,Tech Cool 10-1,Si,50M800,50M400,,0.0197,5.259,,11,559,0,,,,,GPM 150
26,16667288,LAM; ROTOR  48FR 2PL TP4,,R16667288,,RS 48 2P USA,137.3,P-150B,Placas 8,RS 48 2P USA,N/A,,,,,,,,,,,,,,,,Tech Cool 10-1,Si,50M800,,,0.0197,5.259,,5.5,280,0,,,,,
27,16667153,LAM; STATOR 48FR 2PL TP4,,E16667153,,RS 48 2P USA,137.3,P-150B,Placas 8,RS 48 2P USA,N/A,,,,,,,,,,,,,,,,Tech Cool 10-1,Si,50M470,,,0.0197,5.259,,11,559,0,,,,,
28,16667289,LAM; ROTOR 48FR 2PL TP5,,R16667289,,RS 48 2P USA,137.3,P-150B,Placas 8,RS 48 2P USA,N/A,,,,,,,,,,,,,,,,Tech Cool 10-1,Si,50M470,,,0.0197,5.259,,5.5,280,0,,,,,GPM 150
29,16667150,LAM; STATOR 48FR 4PL TP4,,E16667150,,RS 48 4P USA,137.3,,Placas 8,RS 48 4P USA,N/A,,,,,,,,,,,,,,,,,,50M800,,,0.0197,5.259,,11,559,0,,,,,
30,16667154,LAM; ROTOR 48FR 4PL TP4,,R16667154,,RS 48 4P USA,137.3,,Placas 8,RS 48 4P USA,N/A,,,,,,,,,,,,,,,,,,50M800,,,0.0197,5.259,,5.5,280,0,,,,,
31,16667156,LAM; ROTOR  48FR 4PL TP4,,R16667156,,RS 48 4P USA,137.3,,Placas 8,RS 48 4P USA,N/A,,,,,,,,,,,,,,,,,,50M800,,,0.0197,5.259,,,0,0,,,,,
32,16667151,LAM; STATOR 48FR 4PL TP4,,E16667151,,RS 48 4P USA,137.3,,Placas 8,RS 48 4P USA,N/A,,,,,,,,,,,,,,,,,,50M800,,,0.0197,5.259,,,0,0,,,,,
33,16667155,LAM; ROTOR 48FR 4PL TP4,,R16667155,,RS 48 4P USA,137.3,,Placas 8,RS 48 4P USA,N/A,,,,,,,,,,,,,,,,,,50M800,,,0.0197,5.259,,,0,0,,,,,
34,16667157,LAM; ROTOR  48FR 4PL TP4,,R16667157,,RS 48 4P USA,137.3,,Placas 8,RS 48 4P USA,N/A,,,,,,,,,,,,,,,,,,50M800,,,0.0197,5.259,,,0,0,,,,,
35,31-EP-.5 ID,ROTOR LAM. DC 16 .5 ID,,R31-EP-5,,31-EP-10mm,53.3,Bliss,Placas 2,31-EP-10mm,N/A,,,,,,,,,,,,,"Varilla 50"" ",N/A,N/A,Evaporativo,No,65M800,,,0.025,3.956,,22.375,895,0,,,,,
36,31-EP-10MM,ROTOR LAM. DC 16 10MM,,R31-EP-10,,31-EP-10mm,53.3,Bliss,Placas 2,31-EP-10mm,N/A,,,,,,,,,,,,,"Varilla 50"" ",N/A,N/A,Evaporativo,No,65M800,,,0.025,3.956,,22.375,895,0,,,,,
